"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",145.890964,-16.228076,NA,"Paracanthurus hepatus"
"gbif",125.9062,-7.669896,NA,"Paracanthurus hepatus"
"gbif",127.23721,-0.027815,NA,"Paracanthurus hepatus"
"gbif",146.602784,-17.883027,NA,"Paracanthurus hepatus"
"gbif",146.598492,-17.882279,NA,"Paracanthurus hepatus"
"gbif",146.763856,-18.115194,NA,"Paracanthurus hepatus"
"gbif",145.689483,-14.875753,NA,"Paracanthurus hepatus"
"gbif",143.942628,-13.276936,NA,"Paracanthurus hepatus"
"gbif",143.832458,-12.851714,NA,"Paracanthurus hepatus"
"gbif",115.62884,-8.322499,NA,"Paracanthurus hepatus"
"gbif",146.38347,-17.531498,NA,"Paracanthurus hepatus"
"gbif",146.572892,-17.884473,NA,"Paracanthurus hepatus"
"gbif",47.805077,-13.604295,NA,"Paracanthurus hepatus"
"gbif",125.163619,1.741569,NA,"Paracanthurus hepatus"
"gbif",119.601423,-8.539939,NA,"Paracanthurus hepatus"
"gbif",115.544423,-8.727807,NA,"Paracanthurus hepatus"
"gbif",105.669497,-10.429518,NA,"Paracanthurus hepatus"
"gbif",130.305285,-0.587336,NA,"Paracanthurus hepatus"
"gbif",125.1628,1.74325,NA,"Paracanthurus hepatus"
"gbif",125.133681,1.749731,NA,"Paracanthurus hepatus"
"gbif",125.15964,1.68474,NA,"Paracanthurus hepatus"
"gbif",153.628261,-28.611992,NA,"Paracanthurus hepatus"
"gbif",153.388121,-29.923144,NA,"Paracanthurus hepatus"
"gbif",164.018029,-19.747227,NA,"Paracanthurus hepatus"
"gbif",95.257818,5.879506,NA,"Paracanthurus hepatus"
"gbif",40.736725,-14.93515,NA,"Paracanthurus hepatus"
"gbif",130.296477,-1.672505,NA,"Paracanthurus hepatus"
"gbif",151.301663,-33.800169,NA,"Paracanthurus hepatus"
"gbif",153.265046,-30.202839,NA,"Paracanthurus hepatus"
"gbif",153.566667,-27.4,NA,"Paracanthurus hepatus"
"gbif",55.2838,-21.17982,NA,"Paracanthurus hepatus"
"gbif",55.859056,-4.289271,NA,"Paracanthurus hepatus"
"gbif",179.107382,-17.071277,NA,"Paracanthurus hepatus"
"gbif",166.44206,-22.4981,NA,"Paracanthurus hepatus"
"gbif",179.103867,-17.075208,NA,"Paracanthurus hepatus"
"gbif",153.505134,-27.465857,NA,"Paracanthurus hepatus"
"gbif",144.706077,13.477716,NA,"Paracanthurus hepatus"
"gbif",144.70552,13.480037,NA,"Paracanthurus hepatus"
"gbif",118.86434,4.595825,NA,"Paracanthurus hepatus"
"gbif",118.633323,4.121438,NA,"Paracanthurus hepatus"
"gbif",123.894845,-5.775973,NA,"Paracanthurus hepatus"
"gbif",145.993499,-16.423388,NA,"Paracanthurus hepatus"
"gbif",105.666922,-10.429189,NA,"Paracanthurus hepatus"
"gbif",145.4,-14.55,NA,"Paracanthurus hepatus"
"gbif",177.134432,-17.745759,NA,"Paracanthurus hepatus"
"gbif",153.462608,-27.531884,NA,"Paracanthurus hepatus"
"gbif",123.887528,-5.771697,NA,"Paracanthurus hepatus"
"gbif",39.388881,-5.82194,NA,"Paracanthurus hepatus"
"gbif",104.15449,2.87652,NA,"Paracanthurus hepatus"
"gbif",39.383505,-5.820498,NA,"Paracanthurus hepatus"
"gbif",125.923379,-7.6702,NA,"Paracanthurus hepatus"
